city,date,hour,rolling_avg_temperature_c,rolling_avg_pressure_mm
Kazan,2024-02-15,0,-19.0,772.0
Kazan,2024-02-15,1,-21.5,771.5
Kazan,2024-02-15,2,-22.666666666666668,771.3333333333334
Kazan,2024-02-15,3,-22.25,772.0
Kazan,2024-02-15,4,-23.75,772.0
Kazan,2024-02-15,5,-24.25,772.5
Kazan,2024-02-15,6,-23.5,773.5
Kazan,2024-02-15,7,-25.0,773.25
Kazan,2024-02-15,8,-25.25,773.75
Kazan,2024-02-15,9,-24.75,774.5
Kazan,2024-02-15,10,-25.0,774.25
Kazan,2024-02-15,11,-23.75,774.5
Kazan,2024-02-15,12,-21.75,775.0
Kazan,2024-02-15,13,-20.25,774.5
Kazan,2024-02-15,14,-19.25,774.5
Kazan,2024-02-15,15,-18.5,775.25
Kazan,2024-02-15,16,-19.25,775.25
Kazan,2024-02-15,17,-20.5,775.75
Kazan,2024-02-15,18,-21.75,776.5
Kazan,2024-02-15,19,-23.0,776.25
Kazan,2024-02-15,20,-24.0,776.25
Kazan,2024-02-15,21,-24.75,776.75
Kazan,2024-02-15,22,-25.25,776.5
Kazan,2024-02-15,23,-25.75,776.5
Kazan,2024-02-16,0,-26.0,777.0
Kazan,2024-02-16,1,-25.5,776.5
Kazan,2024-02-16,2,-25.333333333333332,776.6666666666666
Kazan,2024-02-16,3,-25.25,777.0
Kazan,2024-02-16,4,-25.0,776.75
Kazan,2024-02-16,5,-24.75,776.75
Kazan,2024-02-16,6,-24.5,777.0
Kazan,2024-02-16,7,-24.0,776.5
Kazan,2024-02-16,8,-23.25,776.5
Kazan,2024-02-16,9,-22.5,776.75
Kazan,2024-02-16,10,-21.5,776.0
Kazan,2024-02-16,11,-20.75,775.75
Kazan,2024-02-16,12,-20.0,776.0
Kazan,2024-02-16,13,-19.25,775.5
Kazan,2024-02-16,14,-18.75,775.5
Kazan,2024-02-16,15,-18.0,775.5
Kazan,2024-02-16,16,-17.25,774.75
Kazan,2024-02-16,17,-16.75,774.5
Kazan,2024-02-16,18,-16.25,774.25
Kazan,2024-02-16,19,-16.0,773.75
Kazan,2024-02-16,20,-16.0,773.5
Kazan,2024-02-16,21,-16.0,773.5
Kazan,2024-02-16,22,-16.0,773.0
Kazan,2024-02-16,23,-16.0,772.75
Kazan,2024-02-17,0,-16.0,774.0
Kazan,2024-02-17,1,-16.0,772.5
Kazan,2024-02-17,2,-16.0,772.0
Kazan,2024-02-17,3,-15.75,772.0
Kazan,2024-02-17,4,-15.5,771.0
Kazan,2024-02-17,5,-15.25,770.75
Kazan,2024-02-17,6,-15.0,770.75
Kazan,2024-02-17,7,-15.0,770.25
Kazan,2024-02-17,8,-15.0,770.25
Kazan,2024-02-17,9,-15.0,770.5
Kazan,2024-02-17,10,-14.75,770.0
Kazan,2024-02-17,11,-14.5,769.75
Kazan,2024-02-17,12,-14.0,769.75
Kazan,2024-02-17,13,-13.5,769.0
Kazan,2024-02-17,14,-13.25,768.75
Kazan,2024-02-17,15,-12.75,768.5
Kazan,2024-02-17,16,-12.5,767.75
Kazan,2024-02-17,17,-12.5,767.5
Kazan,2024-02-17,18,-12.5,767.5
Kazan,2024-02-17,19,-13.0,767.25
Kazan,2024-02-17,20,-13.5,767.0
Kazan,2024-02-17,21,-13.75,766.75
Kazan,2024-02-17,22,-13.75,766.0
Kazan,2024-02-17,23,-13.5,765.25
Kazan,2024-02-18,0,-13.0,765.0
Kazan,2024-02-18,1,-13.0,764.0
Kazan,2024-02-18,2,-13.0,763.6666666666666
Kazan,2024-02-18,3,-12.75,763.75
Kazan,2024-02-18,4,-12.5,763.0
Kazan,2024-02-18,5,-12.25,762.75
Kazan,2024-02-18,6,-12.0,762.75
Kazan,2024-02-18,7,-11.75,762.0
Kazan,2024-02-18,8,-11.5,761.5
Kazan,2024-02-18,9,-11.0,761.0
Kazan,2024-02-18,10,-10.5,760.0
Kazan,2024-02-18,11,-10.0,759.5
Kazan,2024-02-18,12,-9.5,759.25
Kazan,2024-02-18,13,-9.0,758.75
Moscow,2024-02-15,0,-10.0,758.0
Moscow,2024-02-15,1,-10.0,758.0
Moscow,2024-02-15,2,-10.333333333333334,758.0
Moscow,2024-02-15,3,-10.25,758.25
Moscow,2024-02-15,4,-10.75,758.0
