city,date,hour,temperature_c,pressure_mm,is_rainy
Moscow,2024-02-14,0,-9,755,0
Moscow,2024-02-14,1,-11,754,0
Moscow,2024-02-14,2,-10,754,0
Moscow,2024-02-14,3,-10,755,0
Moscow,2024-02-14,4,-12,754,0
Moscow,2024-02-14,5,-12,755,0
Moscow,2024-02-14,6,-12,756,0
Moscow,2024-02-14,7,-12,755,0
Moscow,2024-02-14,8,-12,756,0
Moscow,2024-02-14,9,-12,757,0
Moscow,2024-02-14,10,-12,756,0
Moscow,2024-02-14,11,-11,756,0
Moscow,2024-02-14,12,-10,757,0
Moscow,2024-02-14,13,-9,756,0
Moscow,2024-02-14,14,-9,756,0
Moscow,2024-02-14,15,-8,757,0
Moscow,2024-02-14,16,-8,756,0
Moscow,2024-02-14,17,-9,757,0
Moscow,2024-02-14,18,-9,758,0
Moscow,2024-02-14,19,-10,757,0
Moscow,2024-02-14,20,-10,757,0
Moscow,2024-02-14,21,-10,758,0
Moscow,2024-02-14,22,-10,757,0
Moscow,2024-02-14,23,-10,757,0
Moscow,2024-02-15,0,-11,759,3
Moscow,2024-02-15,1,-11,757,0
Moscow,2024-02-15,2,-11,757,3
Moscow,2024-02-15,3,-12,758,3
Moscow,2024-02-15,4,-12,757,3
Moscow,2024-02-15,5,-12,757,3
Moscow,2024-02-15,6,-12,758,3
Moscow,2024-02-15,7,-12,757,3
Moscow,2024-02-15,8,-12,757,3
Moscow,2024-02-15,9,-13,758,3
Moscow,2024-02-15,10,-13,758,3
Moscow,2024-02-15,11,-12,758,3
Moscow,2024-02-15,12,-12,759,3
Moscow,2024-02-15,13,-12,758,3
Moscow,2024-02-15,14,-11,758,3
Moscow,2024-02-15,15,-11,759,3
Moscow,2024-02-15,16,-11,758,3
Moscow,2024-02-15,17,-11,758,3
Moscow,2024-02-15,18,-11,759,3
Moscow,2024-02-15,19,-11,758,3
Moscow,2024-02-15,20,-10,758,3
Moscow,2024-02-15,21,-10,759,3
Moscow,2024-02-15,22,-10,758,3
Moscow,2024-02-15,23,-10,758,3
Moscow,2024-02-16,0,-10,759,3
Moscow,2024-02-16,1,-10,758,3
Moscow,2024-02-16,2,-10,758,3
Moscow,2024-02-16,3,-10,759,3
Moscow,2024-02-16,4,-9,758,3
Moscow,2024-02-16,5,-9,758,3
Moscow,2024-02-16,6,-9,759,3
Moscow,2024-02-16,7,-9,758,3
Moscow,2024-02-16,8,-9,757,3
Moscow,2024-02-16,9,-9,758,3
Moscow,2024-02-16,10,-8,758,3
Moscow,2024-02-16,11,-8,758,3
Moscow,2024-02-16,12,-7,758,3
Moscow,2024-02-16,13,-6,758,3
Moscow,2024-02-16,14,-6,758,3
Moscow,2024-02-16,15,-6,758,3
Moscow,2024-02-16,16,-6,757,3
Moscow,2024-02-16,17,-6,757,3
Moscow,2024-02-16,18,-6,758,3
Moscow,2024-02-16,19,-6,758,3
Moscow,2024-02-16,20,-6,758,3
Moscow,2024-02-16,21,-5,759,3
Moscow,2024-02-16,22,-5,758,3
Moscow,2024-02-16,23,-5,758,3
Moscow,2024-02-17,0,-5,758,3
Moscow,2024-02-17,1,-5,757,3
Moscow,2024-02-17,2,-5,757,3
Moscow,2024-02-17,3,-5,758,3
Moscow,2024-02-17,4,-5,756,3
Moscow,2024-02-17,5,-5,756,3
Moscow,2024-02-17,6,-5,756,3
Moscow,2024-02-17,7,-4,755,3
Moscow,2024-02-17,8,-4,755,0
Moscow,2024-02-17,9,-4,756,0
Moscow,2024-02-17,10,-4,755,3
Moscow,2024-02-17,11,-3,755,0
Moscow,2024-02-17,12,-2,755,0
Moscow,2024-02-17,13,-2,754,0
Moscow,2024-02-17,14,-2,753,0
Moscow,2024-02-17,15,-1,753,0
Kazan,2024-02-14,0,-16,762,0
Kazan,2024-02-14,1,-20,762,0
Kazan,2024-02-14,2,-20,762,0
Kazan,2024-02-14,3,-18,764,0
Kazan,2024-02-14,4,-20,763,0
Kazan,2024-02-14,5,-21,764,0
Kazan,2024-02-14,6,-19,765,0
Kazan,2024-02-14,7,-21,764,0
Kazan,2024-02-14,8,-22,765,0
Kazan,2024-02-14,9,-18,766,0
Kazan,2024-02-14,10,-19,766,0
Kazan,2024-02-14,11,-17,766,0
Kazan,2024-02-14,12,-17,767,0
Kazan,2024-02-14,13,-16,766,0
Kazan,2024-02-14,14,-16,766,0
Kazan,2024-02-14,15,-17,769,0
Kazan,2024-02-14,16,-18,768,0
Kazan,2024-02-14,17,-19,768,0
Kazan,2024-02-14,18,-20,770,0
Kazan,2024-02-14,19,-21,768,0
Kazan,2024-02-14,20,-22,769,0
Kazan,2024-02-14,21,-22,771,0
Kazan,2024-02-14,22,-23,770,0
Kazan,2024-02-14,23,-23,770,0
Kazan,2024-02-15,0,-24,772,0
Kazan,2024-02-15,1,-24,771,0
Kazan,2024-02-15,2,-25,771,0
Kazan,2024-02-15,3,-25,773,0
Kazan,2024-02-15,4,-25,772,0
Kazan,2024-02-15,5,-26,772,0
Kazan,2024-02-15,6,-26,774,0
Kazan,2024-02-15,7,-27,773,0
Kazan,2024-02-15,8,-26,774,0
Kazan,2024-02-15,9,-25,775,0
Kazan,2024-02-15,10,-23,774,0
Kazan,2024-02-15,11,-22,774,0
Kazan,2024-02-15,12,-21,776,0
Kazan,2024-02-15,13,-21,774,0
Kazan,2024-02-15,14,-20,774,0
Kazan,2024-02-15,15,-20,776,0
Kazan,2024-02-15,16,-21,775,0
Kazan,2024-02-15,17,-23,775,0
Kazan,2024-02-15,18,-24,777,0
Kazan,2024-02-15,19,-24,775,0
Kazan,2024-02-15,20,-25,775,0
Kazan,2024-02-15,21,-26,777,0
Kazan,2024-02-15,22,-26,775,0
Kazan,2024-02-15,23,-27,776,0
Kazan,2024-02-16,0,-27,778,0
Kazan,2024-02-16,1,-26,776,0
Kazan,2024-02-16,2,-26,776,0
Kazan,2024-02-16,3,-25,778,0
Kazan,2024-02-16,4,-25,776,0
Kazan,2024-02-16,5,-25,776,0
Kazan,2024-02-16,6,-25,777,0
Kazan,2024-02-16,7,-24,776,0
Kazan,2024-02-16,8,-23,776,0
Kazan,2024-02-16,9,-22,777,0
Kazan,2024-02-16,10,-21,775,0
Kazan,2024-02-16,11,-20,775,0
Kazan,2024-02-16,12,-19,777,0
Kazan,2024-02-16,13,-18,775,0
Kazan,2024-02-16,14,-18,775,0
Kazan,2024-02-16,15,-17,776,0
Kazan,2024-02-16,16,-17,774,0
Kazan,2024-02-16,17,-16,774,3
Kazan,2024-02-16,18,-16,775,3
Kazan,2024-02-16,19,-16,773,3
Kazan,2024-02-16,20,-16,773,3
Kazan,2024-02-16,21,-16,774,3
Kazan,2024-02-16,22,-16,773,3
Kazan,2024-02-16,23,-16,772,3
Kazan,2024-02-17,0,-16,773,3
Kazan,2024-02-17,1,-16,771,3
Kazan,2024-02-17,2,-16,772,3
Kazan,2024-02-17,3,-15,772,3
Kazan,2024-02-17,4,-15,770,3
Kazan,2024-02-17,5,-15,770,3
Kazan,2024-02-17,6,-16,771,3
Kazan,2024-02-17,7,-16,769,3
Kazan,2024-02-17,8,-15,769,3
Kazan,2024-02-17,9,-15,770,3
Kazan,2024-02-17,10,-14,769,3
Kazan,2024-02-17,11,-13,769,3
Kazan,2024-02-17,12,-12,770,3
Kazan,2024-02-17,13,-12,768,3
Kazan,2024-02-17,14,-12,768,3
Kazan,2024-02-17,15,-12,768,3
St. Petersburg,2024-02-14,0,-12,767,0
St. Petersburg,2024-02-14,1,-12,766,0
